Name,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude
Oppenheimer Memorial Totem Pole,1997,In place,"The totem was carved using traditional techniques taught by a master carver. The pole was created in memory of ""lives that otherwise may have gone unrecorded."" - The Art of Neighbourhoods,  Park Board Brochure",,Oppenheimer Park,"Powell and Cordova, Dunlevy and Jackson",DowntownEastside,49.28238,-123.094119
Footprints,2001,In place,"Rectangular mosaics in the sidewalk mark historical sites at the following locations: Cordova at Richards; Alexander at the foot of Columbia; Main Street in Portside (Crab) Park; Alexander at Gore; Railway at Dunlevy; Mid 400 block, Alexander Street; Powell at Dunlevy; Powell at Gore; Gore at Cordova; Cordova at Jackson; Pender at Jackson; Pender at Heatley; Hawks at Hastings; Campbell at Keefer; E. Georgia at Hawks; Hawks at Union; Union at Princess; East Georgia at Jackson; Gore at Keefer; Hastings at Gore; Hastings at Main; Pender at Columbia; Keefer at Columbia; Pender at Carrall; Hastings at Carrall; Hastings at Abbott; Pender at Hamilton; Hamilton at Hastings; and Hastings at Cambie.","""Artists worked with participants from the Carnegie Street Program in a storefront studio over a six week period to reseach, design and produce 17 mosaic markers and 100 banners that mark the Old Vancouver Townsite."" - The Art of Neighbourhoods, Vancouver Park Board",Downtown Eastside,Various,DowntownEastside,49.281071,-123.10006
Douglas Park Bench Project,1996,In place,,,Douglas Park,801 West 22nd Avenue,South Cambie,49.252608,-123.122352
Marking High Tide and Waiting for Low Tide Pavillions,1996,In place,There are two sculptural elements below the pump station and along the southern shore of David Lam Park (located in North False Creek between the Granville and Cambie bridges) : a circle of stones and a concrete ring resting on columns. Text is inscribed on the inside of the concrete ring.,,David Lam Park,,Downtown,49.271847,-123.12491
New Sights in the Heights,2002,In place,Silhouettes of music notes were painted by children and parents and mounted on the school fence.,,Champlain Heights Elementary School,6955 Frontenac,Killarney,49.220697,-123.027485
Renfrew Ravine Sanctuary,2002,In place,"The entrance to the ravine is enhanced with a welcoming pathway, garden, and stone labyrinth.",Sponsored by the Collingwood Neighbourhood House.,,,Renfrew-Collingwood,49.251186,-123.043728
Semaphores,2003,In place,"Seventeen glass and aluminum gates designate the entranceways to the private suites. Each has a unique image inset into it, ranging from abstract forms to a representation of sailboats, water, and other images referring to the natural or social setting. The artist interviewed the townhouse residents to make the works personally relevant. The gateways embrace the idea of life as a passage. ( R. Laurence, The Art of Place, The Georgia Straight, June 5-12, 2003) The artist also created a large illuminated glass wall piece for the tower lobby.","Semaphores makes connections to historical and existing associations while drawing the viewer into new relationships to the site.  This installation (34 gates when completed, summer 2004) of intended diversity and uniqueness, engages the public through its accessibility and maintains an open space for lyrical discovery. By using colored glass as a kaleidoscope of sensitive hues, the seriousness of painting is removed. Each painting acquires through its intrinsic translucency a depth and vibrancy that allows the images to float.    The lobby artwork at the Carina and Callisto is made up of key components to the gates. In the Carina ""Dusk"",  inspired by water (which is 4 billion years old), and ""Rib Boat Bench"", inspired by the local boat building industry in 1900, are made out of Sitka spruce, consciously resonating with the site, physically and culturally. Claudia Cuesta",Harbour Green,1233 West Cordova,Downtown,49.28967,-123.123477
Project for a Public Works Yard,2004,In place,"Greg Snider’s project brings together the various functions the works yard supports, and quotes them all in sculptural terms.  To best describe the work, imagine that someone cut a large rectangular block out of the street, then lifted the cross-section up. What was underground is now at eye level.  The fire hydrant is a cut-away exposing the valves and inner workings.  We can see the water mains, the sewer lines, where the storm drains lead, and the inside of manholes.  Above street level, the more familiar streetlights, parking meter and tree are no longer physically accessible.",The piece represents the services provided by the City. The various departments of the Works Yard are all represented in the piece and helped to fabricate it.,"National Street Works Yard, COV",700 National Avenue,Strathcona,49.273616,-123.09
Constellation Lanterns,2004,In place,"Four large steel ""story lanterns"" fixed to the lampposts the walkway for a safer and more attractive route. The Community Constellation Lanterns recreate an ordinary functional street lamp into an object of special pride for the neighbourhood. The Constellations are large angular tapered steel covers fixed to the light standard poles, fitted with interior lights, and painted dark bronze on the outside with a bright warm vermillion color on the inside. The aspirations of the community are warmly radiated onto the pathway through stencil patterns designed by people of the neighbourhood, laser cut into the steel, and revealing the light-colored interior. These stories in light exude a warm cosy glow, enveloping  and welcoming people crossing the park on their way to and from 29th Avenue Skytrain Station. At night, from a distance, the poles twinkle like the stars of the galaxy. Each pole reflects the elemental, seasonal and environmental themes of the mosaiced oval Islands below.","The Community Constellation Lanterns were created as a part of the Slocan Park Revitalization Project for the Renfrew Collingwood Arts Pow Wow’s “Creating Home” and “Community Development Through Cultural Expression” Projects. The park landscape plan was part of a community development project in which hundreds of community members were involved in redesigning Slocan Park over a period of three years. The first installation of the community’s vision was the Duchess Walkway and involved community members and park goers in all stages of the design and implementation. The Duchess Walkway includes a series of pebble mosaics (created by community members with local artist, Jennifer Norquist) and the Guardian Spirit (a totem pole carved with local carver, Jerry Sheena and youth from the neighbourhood who learned to carve from this experience). The Constellation Lanterns were the final stage of the Duchess Walkway and are made with cut out designs by local community members and artists.",Slocan Park,Slocan Park and 29th Avenue,Renfrew-Collingwood,49.244207,-123.046635
Project Tendril,2003,In place,"A series of ""living sculptures"" using vines growing over rebar and willow-branch structures are planned next to the Ross Street Temple.",The project is sponsored by the Sunset Community Centre and the Khalsa Daiwan Society.,Ross Street Temple,8000 Ross Street,Sunset,49.211591,-123.082415
Mosaic Planet,2002,In place,Four 4'x4' sidewalk mosaics of porcelain tiles show colourful images of community life in the area.,,,10th & 11th Avenues and Commercial Street,Grandview-Woodland,49.260535,-123.069932
WECCstoration Project,1995,In place,Three colourful murals are painted on the concrete sides of the building. The project included new lighting and awnings.,The community-based project was meant to enliven and revitalize the front entranceway of the community centre.,West End Community Centre,870 Denman Street,Downtown,49.290483,-123.136649
AIDS Memorial,2004,In place,"The ribbon of steel is composed of 20 steel panels anchored to concrete piers and is engraved with the names of nearly 800 people from BC who have died of AIDS. The panels have a natural rust-oxidized finish. It winds down the slope from the parking lot at Sunset Beach towards English Bay. The overall length may ultimately be as much as 60 feet. The names are inscribed beneath the phrase, ""With you a part of me hath passed away"", from poet/philosopher George Santayana.","""Though situated in a hub of life and activity, this unique setting provides a sanctuary of quiet reflection. Set in a treed bowl, the graceful lines of the memorial are designed to complement the rustic, tranquil beauty of the grassy, landscaped hillside… this British Columbia landmark of hope and courage is dedicated to the memory of those lost to HIV/AIDS, to the caregivers who eased their passing, and to those who live with the presence of their absence."" The project was developed by the AIDS Memorial Society. The design was chosen from over 70 submissions to a public call for designs.  It took 10 years to raise the funds. After a 2-year public consultation, the Park Board approved the sight at Sunset Beach. The Society also has a mandate to educate people about AIDS. http://www.aidsmemorial.ca/",Sunset Beach,,West End,49.27788,-123.136502
Haida Eagle and Frog Totem Pole,2002,In place,"The 8 foot pole is carved on all sides and features a large eagle holding a frog between its wings. A smaller eagle is on top. The piece was designed by Reid and carved in his studio in 1986-1987 by Tim Boyko, Bill Bellis, Don Yeomans, and Doug Zilkie.",,Metropolitan Towers,940 Seymour Street,Downtown,49.279305,-123.120407
Sliding Edge,2003,In place,"""Along the seawall is a rough yet elegant waterfall of black rundle stone: the stacked, linear, irregular stone edges are abstractions of geological layers… Standing on top of the waterfall is an iconic, enigmatic human figure - man in the landscape, poised between the earth and the sky."" The text is from a poem by Earle Birney, November Walk Near False Creek Mouth. Along Hastings Street is another waterfall and black stone benches are scattered along the pool edge. Cast Iron tree grates are shaped like saw blades to remind viewers of the historic use of the area.","""Sliding Edge"" alludes to the always moving edge of the waterfront, the sea sliding in and out on the tides, the waves lapping, the shifting of the earth's edge, the changes over time. This work refers to the site's natural and industrial context, to ideas of nature and culture.""",Cascina/Denia residential towers, 500 Nicola Street,Downtown,49.291259,-123.1275
CuTArT Crossroads: Community Seat,2003,In place,The artist used heritage granite curbs from the 1920s to create this seating installation. Commissioned by Rapid Transit Project 2000 for the City of Vancouver Central Valley Greenway as part of the Millennium SkyTrain.,,Central Valley Greenway,12th Avenue and Garden Drive,Kensington-Cedar Cottage,49.260258,-123.0582
False Creek Totem,1999,In place,This tall carved totem has a kayak passing through its centre.,"This work was completed with the help of more than 800 visitors/volunteers, some working everyday for more than a month.",Sutcliffe Park,False Creek,Fairview,49.268961,-123.1349
Patterning: A Time Project,2001,In place,The artwork is a ceramic grid of tiles with majorlica glaze.,,Thunderbird Community Centre, 2311 Cassiar Street,Renfrew-Collingwood,49.263608,-123.032104
Three Watchmen,2003,In place,This black bronze sculpture 14' high and 4' wide represents three crouching human figures wearing exceptionally high hats.,"The piece is based on legendary Haida figures who remain watchful to alert the owner to the approach of an enemy or any threat. The three figures can be said to represent the past, present and future and the interior, exterior and supernatural worlds.","Marguerite House, Quilchena Park",4655 Valley Drive,Arbutus Ridge,49.244637,-123.1518
Tribute to the Cambie Works Yard,2004,In place,"A transparent film is applied to the glass on the sliding doors of the meeting room off the main lobby, creating a panorama in sections. The images are drawn from photographs of the layers of marking on the asphalt of the old Cambie Work Yard. Many different employees over the course of many years, contributed to the patterns of white and yellow dashes, circles, and lines as a result of testing the line-painting equipment. Isolated and blown up they become abstract images with cryptic symbols and letters. The panoramic image is complete when the doors are closed, and layered when open.",The artist took numerous photos of the layers of markings made over the course of years by the employees in the course of their work.,National Works Yard,700 National Avenue,Strathcona,49.273792,-123.0927
LightShed,2004,In place,"The artwork is located on the downtown seawall near the Coal Harbour Community Centre and facing Stanley Park. It is based on the old boat sheds that used to line the shoreline. The artist cast a ½ scale model in aluminum and coated it with luminescent paint.  It is perched on top of cast pilings. At night a soft glow emanates from inside. Grosvenor, an international property group, commissioned this work by Liz Magor as a gift to the city. The artwork was cast in the Harman Foundry in Robert's Creek operated by Stephen Harmon, son of artist Jack Harman.",,Harbour Green Park seawall,,Downtown,49.290948,-123.123173
2000 Views of Strathcona,2000,In place,The artist worked with people in the community to create this digital photo mosaic.,,"Strathcona Community Centre,",601 Keefer Street,DowntownEastside,49.27978,-123.091546
Red Horizontal,2005,In place,"""Red porcelain enamel panels are embedded in the upper portion of concrete benches that run along a portion of the seawall in the North False Creek neighbourhood. In cooperation with area residents, photographs were taken of the interior spaces of the apartments, condominiums, lofts or seniors' housing. These photographs were then arranged into a number of different sequences and appear as transparent halftone images layered on the red panels. A total of 257 photographs appear in the work, 29 of which are repeated. The photographs of the residences were taken in the spring and summer of 2004."" - the artist","""The work…was conceived to function both from a distance and in close proximity. When approaching the artwork from a distance - such as the water or walking along the seawall - the work appears as a thin red horizontal line in contrast to a predominantly vertical architectural environment. In close proximity the viewer can see in a high degree of detail the various residences that compose the photographic aspect of the work.  The choice of material, porcelain enamel, is intended to refer to the tradition of ceramic benches and tile work found in both exterior and interior public spaces. The rich red of the porcelain adds a strong element of colour to the predominantly glass, steel and concrete environment."" -the artist",False Creek Sea Wall North,David Lam Park Extension,Downtown,49.271763,-123.125023
Untitled (light work),2005,In place,"A thin shaft of light emerges along the length of the 149m building at sunset. The LED light can be seen from a distance and changes from green to blue as it gets higher, reflecting the transition from earth to sky.",,Shaw Tower,1067 West Cordova Street,Downtown,49.288318,-123.117871
Suan Phan: Abacus,2005,In place,"The artwork is a dark concrete gate structure that supports a curved steel beam painted in cinnabar and frames a 1200 lb abacus with jade stones from Ogden Mountain in BC. The stones are movable and were carved by Deborah Wilson and engineered by George Noble to ""float"".","""The abacus and jade are integral parts of Cinatown's history. Because I was born and lived here they are also part of my past and present. Traditionally jade is said to emanate ""chhi"", a power conducive of good health and luck. It was and is treasured for that silent effluxion as well as for the calm beauty of the stone. The abacus is known to the Chinese as ""suan phan"" (counting board). It is a mechanical aid once commonly - and still sometimes - used in chinatown shops. Calculations are made by moving the beads up and down and from right to left. Those beads would not be jade - probably wood."" from the announcement of the completion of the piece, October 29, 2005",Shanghai Alley,550 Taylor,DowntownEastside,49.279584,-123.105903
Strathcona Park Pavilion,2005,In place,"Paper cutting is the foundation of this community-based project that resulted in a decorative pavilion. The artist worked with people of all ages in the Strathcona neighbourhood through the Strathcona and Seymore Schools, Strathcona Community Centre, Raycam Community Centre, The Core Artist Co-op and small gatherings. The pavilion is located in Strathcona Park at Hawkes Avenue and Prior Streets.","The Strathcona Pavilion links community processes and art making to Vancouver’s Public Art Program. In 2004 a collaborative process between myself, Architect David Rose and the Strathcona Park Committee was begun to build a Pavilion in Strathcona Park that would celebrate the lives of the people living in the area. The new structure would feature artworks created by community members generated through a process that spanned half of the following year. Through the fall of 2004 and winter 2005 workshops were held to make paper cut designs that would then be translated into the cut wood and cut metal designs, which now adorn the Pavilion. Paper cutting has many traditions in many cultures and it was an interesting process, which captured people’s imaginations and engaged all ages in the Strathcona neighbourhood. Artworks were created by children, parents, families and neighbours at Strathcona School, Seymore School, Strathcona Community Centre, Raycam Community Centre, The Core Artist Co-op, and through gatherings at people’s homes. Altogether there are over 200 individual designs on the Pavilion.The Pavilion and artworks were completed in July 2005 and a community celebration was held in the park.",Strathcona Park,Prior and Hawkes Streets,Strathcona,49.275504,-123.0854
One in Light,2006,In place,"Eight stainless steel towers are anchored in the pond. They are filled with glass and resin chunks representing raw coal and rough diamonds. The ""diamonds"" have different colour hues and are illuminated at night with multi-coloured LEDs that produce white light but reflect a variety of colours. A grid of perforated pipes on the bottom of the pond release bubbles to represent a grid of streets. The patterning of the ""streets"" changes occasionally. The water is illuminated with a dark blue light.",The project was inspired by the history of the site [from glacial ice to mineral resources] and its transition into a setting for a series of beautiful residential towers set on a spectacular waterfront.,One Harbour Green,1169 West Cordova,Downtown,49.289295,-123.1209
People Amongst the People,2008,In place,"These three beautifully carved red cedar portals are constructed to represent the traditional slant-roof style of Coast Salish architecture with carved welcome figures in the doorways. They are intended as a gesture of welcome to the traditional lands of the Coast Salish people of the area. The artworks reflect the history of these aboriginal people as well as the modern culture that still thrives. Three years in the making, the artworks were developed through collaboration with Coast Salish Arts; Vancouver Storyscapes (a City of Vancouver Social Planning project to encourage aboriginal people to share their stories through a variety of media); the Musqueam, Squamish, and Tsleil-Watuth First Nations; and the Vancouver Board of Parks and Recreation.","Drawing on Coast Salish design elements, People Amongst the People’s three portals represent:                                                                                         1) Male and Female Welcome Figures - Framing the view at the east entrance to the site, these two upright figures greet visitors in a traditional Coast Salish gesture of welcome. Both figures wear Salish blankets incorporating weaving designs and a salmon motif. On the reverse side, the male has traditional design elements and the female has a motif influenced by Salish berry basket designs.                                                                                            2) Grandparents and Grandchildren Honoured - On the upright poles located southwest of the path an intertwined braid of hair links the three female faces of the grandparents pole, illustrating the powerful matrilineal ancestry of the Coast Salish. The abstract design on the back represents the salmon, once so plentiful in the area. The grandchildren pole pays tribute to the importance of the family bond. On the reverse side, a carved herring design reflects the living culture in the area as it has been transformed through history.                                                                                              3) Salish Dancer and Killer Whale - Visible from the seawall and park drive north, the third portal articulates the evolution of Salish design. A Coast Salish Dancer shows a human figure holding a sea serpent rattle and above it, the Thunderbird, the most powerful of all spirits and a symbol of protection. On the opposite face of the Dancer, tree roots connect us to the land, sea and sky.  The Killer Whale upright depicts five whales, each with a raven fin and salmon pectoral, representing the close link between humans and orcas. The Salish believe that when great chiefs die, they become killer whales. The crossbeam is carved with a Salish textile motif.",Brockton Point Totem site,Stanley Park,Stanley Park,49.301064,-123.117
Watercourse,2008,In place,Water feature and planter.,"“Historically, the site of this plaza was crossed by a major stream flowing north towards the bay. Though not practical to construct the waterworks following the exact direction, the fountain and waterfalls here reflect the history of the original landscape while giving a vibrant edge to the pedestrian side of the office tower plaza along the length of Burrard Street. The flow of the original stream is demarked by a curving dark granite line across the southern part of the plaza. It is inscribed with the details of the history of the site.  The geometry of the fountain, waterworks and planting beds is also designed to be seen from above from the surrounds buildings. Gray green Canadian granite, with polished, honed and natural cleft surfaces was used to create the pools, waterfalls, planting bed edges and seating.”",Bentall 5 Plaza,588 Burrard Street,Downtown,49.285718,-123.118287
VGH Energy Centre,2008,In place,"An interactive and integrally functional work that humanizes and animates the 45 or so intake, vent, steam and exhaust stacks rising out of the giant boiler plant below ground level. A somewhat parabolic stainless steel spiral pipe descends from the 3/4 point of one of the main stacks, down and across the site, ending over a vortex/whirlpool in the pool. The last 20 metres of the spiral rains cooling water into the pool, recycling it from, and back, into the plant itself. A number of the concrete pavers in the plaza are in fact pressure sensitive, that also cause the playful release of some of the excess steam from various vents of the system.",,VGH Energy Centre,12th Avenue at Willow Street,Fairview,49.260111,-123.122523
Weathervane,2008,In place,"Copper sculpture of the artist as the philosopher, Erasmus, seated backwards on a horse reading a book.","Riding high among the rooftops in Vancouver is an unusual sight that awaits the casual viewer looking upward from street to sky; a 58 inch-high bright copper sculpture of a historical-looking figure riding a lively horse with a ringleted mane, reading a book while sitting backwards. The figure faces the direction of the wind as indicated by the four directionals and the tipped arrow upon which it rests. Closer investigation reveals this to be Rodney Graham’s Weathervane sculpture, which depicts the artist dressed as 16th Century humanist and classical scholar, Erasmus. Absorbed in the solitary activity of reading, the figure is lost in thought and contemplation, not having to worry about where he is going or what lies ahead but, as Rodney Graham puts it, is able to ‘ponder on horseback’  moving forward but also looking backward, to the past.  Rodney Graham based the weathervane on a contemporary anecdote which claimed that Erasmus wrote his most well-known work, The Praise of Folly, on horseback during a journey from Italy to England circa 1510. Graham plays on the absurdism inherent in reading a philosophical treatise on human folly whilst riding on a horse backwards and continues his ongoing philosophical enquiry into cyclical and backward movement; like all his work it contains a complex narrative and is brimful of references: literary, philosophical, self-referential and art historical.  Rodney Graham’s poetic and humourous weathervane, helpfully indicating wind direction and compass points for any serious traveller who looks upward to contemplate the conditions for travel, continues his preoccupation with un-urgent journeying. Erasmus travels from Italy to England leisurely by horseback, the cowboy meanders gently off the beaten track, the buccaneer’s unknown voyage which has thrown him up on a “treasure island”, and the chemically-induced mental journeys that take place in the artist’s head, remind us even if we are not going anywhere in particular that ‘the trip is the thing’.(Rodney Graham in conversation with Iwona Blazwick, Director, Whitechapel Gallery, October 14th 20082 Rodney Graham in Rodney Graham, Whitechapel Art Gallery, London 2002 p.109)",Pomaria,"1455 Howe Street, Vancouver, B.C. V6Z 1C2",Downtown,49.275678,-123.130832
Peaceable Kingdom,2008,In place,"In Dean's ""Peacable Kingdom"", serene beasts coexist in a precarious sensual paradise. The leopard lies with the goat kid, the sow and the python are in love, and the child and the bear are intimate. But it could collapse in a moment into sex and violence as a demon beaver leads berserker rats into paradise, and a giant vulture waits patiently for someone to die in paradise.",,King Edward Village,4078 Knight Street,Kensington-Cedar Cottage,49.249072,-123.075344
day off - night out,2008,In place,"Thirty stainless steel embedded plates.  Two images: one of a place setting and the other of a film reel.  Both surface finishes are reflective, each catching the light differently depending on the daylight conditions.","The intention was to create visually playful iconic imagery referring to the ""village"" on Cambie Street.  This is an area with many restaurants and the historic Park Theatre.",Cambie Village,Cambie Street between 17th and 19th Avenues - both East and West sidewalks,South Cambie,49.256044,-123.1151
turn,2008,In place,Three sculptural elements fabricated from stainless steel pipe plate.,"turn began through an investigation of the Public Art site. It developed as a way of defining site parameters, and assessing the physical reality of creating an iconic marker for that site and the surrounding area. It was important that the work be read at a distance as well as have some aspect of the work that would be more intimate in its relationship to the viewer and the site.  The intention was to create an iconic sculpture acting as a gateway marker defining the entrance to the City of Vancouver. turn acts as an identifier of place, creating an image in the viewer’s mind that connects them back to the site. The imagery and form for turn evolved from ideas about “driving” and “fixing” in particular, with the final form of the sculpture column based upon the twist drill. The two ground elements were intended to provide a more intimate relationship to the site as well as to the scale of the viewer.",Grandview Highway Canadian Tire,2820 Bentall Street,Renfrew-Collingwood,49.258316,-123.031001
walking the line,2008,In place,Integrated work — six sculptural grates for fresh air intake vents for underground parking.,"This work was conceived for a pedestrian experience of the landscape and makes reference to the visible landscape of the city: the mountains of the north shore. The imagery was derived from the topography of the coast of British Columbia using geo-positioning computer software. The resulting image of the work was refined by hand drawing, further computer work as well as computer directed plasma cutting and then fabricated-assembled by hand.",The Rise,455 West 8th Avenue,Mount Pleasant,49.264171,-123.1138
Double Blind,2008,In place,"Double Blind is a large-scale sculptural installation by Antonia Hirsch, commissioned for the atrium of the new Vancouver Community College’s Broadway Campus Phase One Expansion building. Spanning four stories of the building, Double Blind  translates a Snellen, or eye, chart into Braille by using dome mirrors in order to emulate the raised dots of Braille script.Dome mirrors are endemic to public spaces and can be found in pedestrian underpasses, hospital corridors, and in commercial retail contexts. They are used for surveillance as well as for the prevention of collisions in pedestrian traffic flow. Public space is often highly contested since it must typically answer to the idealist demands of communal space while also satisfying the concerns for public safety that are frequently associated with control and surveillance. Like many atriums, the new Vancouver Community College’s interior public space has a panoptic tendency: emphasizing ‘insight’ into various interior spaces from specific vantage points. This panoptic tendency is echoed in the domed mirrors, each reflecting a 360° view of the surrounding space.Double Blind deliberately and emphatically utilizes elements that are commonly found in public space and re-purposes them, thereby highlighting the quality of the space itself, rather than offering a pictorial escape from its reality. Double Blind queries the interlinked ideas of seeing and controlling, acknowledging the importance of the context in which information is acquired and processed, whether that context is a scientific doctrine, social matrix, or language system.This sculptural work is accompanied by a T-shirt multiple that echoes the installation’s oxymoronic premise: those who can see the work likely don’t read braille, and those who read braille can probably not see the work.On the back of each T-shirt, an eye chart is rendered in raised letters. Though reproduced in a colour identical to that of the shirt and thereby nearly invisible, the characters are tangible. Conversely, the front of each shirt mirrors the installation’s graphic arrangement in reflective foil, yet these braille dots are entirely two-dimensional, visible, but not available through touch.",See 'Description of Work'.,Vancouver Community College: Broadway Campus,1120 East 7th Avenue,Mount Pleasant,49.264344,-123.0808
The Drop,2009,In place,"A large, gentle ""raindrop"" captured in its descent at the moment of contact.","Thrust into the waters of Burrard Inlet, The Drop playfully invites the viewer to reflect on our relationship with this precious commodity of water, and by extension, on the history, complexity, and future of our waterfront.The Drop pays homage to the element of water and the un-tameable forces of nature which are omnipresent in Vancouver.  The slender, elongated sculpture balances as if a huge raindrop were on the verge of landing on the sea walk.Although the sculpture takes a natural phenomenon as its starting point, it displays a technical perfection, artificially coloured to correspond to the sky and contrasting with the pale yellow mass of the mountain of sulphur visible on the horizon, waiting to be loaded into cargo ships.The sculpture’s angle and orientation create a visual dialogue with the architecture of the Convention Centre West, as well as with the bows of the gigantic cruise ships frequently docked nearby.  Like an abstract, radiant-blue ship’s figurehead, it marks the interface between land and water, between nature and technology.",Vancouver Convention Centre,1055 Canada Place (foot of Burrard Street),Downtown,49.289384,-123.114089
Monument for East Vancouver,2010,In place,Freestanding illuminated sculpture,"Monument For East Vancouver develops from a graffiti symbol that has circulated for several decades in East Vancouver.  It is a symbol that has circulated in largely provisional terms.  My idea was to formalize the symbol through scale and permanence.  Although its precise origins are not known, the symbol does date back to at least the late 1940s (according to the memory of some senior citizens), which is the beginning of the post 2nd World War period.  Its roots may be linked to the Catholic inscription of East Vancouver culture at that time, home as it was to many Italians, Greeks and Eastern Europeans.  Over the years, the symbol has been adopted as an emblem for East Vancouver as a whole but its appearance has generally been tentative rather than overt.  The lack of overtness is, I feel, symptomatic of the underlying meanings that the symbol expresses.  These meanings have to do with problems of injustice, inequality, subjugation and the trauma of poverty and acculturation, particularly as it relates to immigrant life.  My proposal is for a site that sits on a visually messy and peripheral site in East Vancouver.  The East Vancouver symbol is rendered as a 57 foot sculpture that lights up after dark, the word East and Van encircled by a cross delineation that seems to float all on its own.  The sculpture faces westward towards downtown, towards the centre.  It is an expression of hope and defiance.",,Clark Drive at East 6th Avenue,Grandview-Woodland,49.265426,-123.077613
The Solar Bike Tree,2010,In place,"The Solar Bike Tree is functional art. Part sculpture, part bike rack, the tree has motion-detected, solar powered lights in the treetop. A “nest” houses the battery and electrical components. Up to 15 bikes can be parked at the tree: 12 in the root “racks” around the base; three more can be hung from the tree trunk. The Bike Tree is sited at Science World, close to the 2010 Olympics Athletes' Village. It sits at the confluence of three major cycle paths, including the city's premiere Central Valley Greenway. The Solar Bike Tree replaces a street lamp at the end of an arc of large trees in planters, becoming one of the “trees” in effect. The round hoops of the tree’s canopy echo the spherical shape of Science World. BC Hydro funded the solar component of the piece and Webster Solar Energy was the solar consultant.","Bike racks typically don't beautify outdoor spaces, they are merely functional and are often seen to just take up space. The Solar Bike Tree turns a bike rack into a work of art, making it cool to ride and park your bike and perhaps more desirable to have a bike rack in front of businesses or in public spaces. By turning a bike rack into a sculpture, we hope to bring more attention to ""alternative transportation"" in this time of rising fuel costs and peak oil concerns. It also gives bike owners a safer, more theft and vandal-resistant way to securely park their bikes.–Spring Gillard, Garden Heart Production",Science World (Creekside Park),Quebec and Terminal,Downtown,49.273084,-123.102799
Everything Is Going To Be Alright,2009,In place,Neon text affixed to the restored masonry parapet of the southern façade of the six storey portion of the building.  The art piece is set back from the three storey Pender façade but visible from farther vistas.,,The Wing Sang Building,51 East Pender Street,DowntownEastside,49.280538,-123.103112
Aerodynamic Forms in Space,2010,In place,"A major figure in Canadian and international contemporary art, Vancouver artist Rodney Graham is well known for his conceptual and often humorous sculptures. His piece for the Georgia Street entrance to Stanley Park, a spectacular 400-hectare evergreen oasis in the downtown peninsula, is a 35 foot abstract stainless steel sculpture that replicates a balsa wood toy glider set; abstractly assembled as a modern sculpture. The work includes an impression of the twisted blue elastic band that would be used to power the glider, a propeller that slowly turns in the wind and wheels that whimsically bob.","The work takes its title from a series of photographs I shot in Vancouver in 1977…which documented a series of ‘incorrectly’ assembled toy glider kits…I put the models together not with a view to having them fly correctly, but with an eye to their aesthetic value as purely abstract sculptural forms… Part of the challenge inherent in making these works was the very limited instrumental set from which I had to draw.When I was asked to create a sculptural proposal for the entrance to Stanley Park, it occurred to me that it might be interesting to return to this work…and try to realize a large-scale version of one of these sculptures: to use the same very limited instrumental set with which anyone who has put together a toy glider would be familiar. The theme of flight seemed appropriate given the location too, for seaplanes are common sights at the entrance to the park.And the park, of course, is a place where children and adults may very well play with gliders… Plus it would be something that would be interesting when glimpsed only briefly by passengers in vehicles moving at relatively high speed along West Georgia.The title of the work is meant to evoke, in a slightly humorous way…that of a classical modernist public monument of a bygone period, elements of which the sculpture plays with.",Stanley Park,Georgia Street entrance,West End,49.294667,-123.13608
THE WORDS DON’T FIT THE PICTURE,2010,In place,"A large freestanding, three-dimensional sign with 1280 LED light nodes with the text THE WORDS DON""T FIT THE PICTURE. The lights change with a computer programmed sequence.","THE WORDS DON’T FIT THE PICTURE is a text-based work made in response to the context, building and public surrounds of the Vancouver Public Library. The work takes the form of a large freestanding sign that sits in front of the VPL just off the southern entrance of the building in a heavy pedestrian traffic area. The sign takes its cues from an era of signage when signs were once seen as celebratory, grand and iconic – in effect, as landmarks in their own right as a kind of symbolic architecture (think: Caesars Palace, The Flamingo, The Stardust – to the landmark of all landmarks, Hollywood). In tracing this lineage, the work also acknowledges a local history when Vancouver was once seen as one of the neon-light capitals of North America. Reminders of this once past persists in signs like BOW-MAC “on Broadway” (now retro-fitted with the Toys R’ Us sign) and of course the W atop of what once was the Woodward’s building. In adopting the form of a sign, THE WORDS DON’T FIT THE PICTURE elides the classifications of traditional sculpture, by evoking a typology that is at once familiar and accessible. Taken within the context of a public library, the work touches upon – in a very poetic way – the use of words and language as boundless and imaginative, as a catalyst for a multiplicity of meanings.","Vancouver Public Library, Main Branch","350 West Georgia Street, Vancouver BC V6B 6B1",Downtown,49.279552,-123.116458
